1	PROCEEDINGS		NNS	O	proceedings	_	0	1	['P1,916 85 1248 115']

1	OF		IN	O	of	_	0	2	['P1,1025 177 1060 197']
2	THE		DT	O	the	pobj	1	2	['P1,1076 177 1137 196']

1	CALIFORNIA	CALIFORNIA	NNP	LOCATION	CALIFORNIA	_	0	3	['P1,624 263 935 302']
2	:	:	:	O	:	_	0	3	['P1,624 263 935 302']
3	vACADEMY	:AlCABEM	NN	O	vacademy	dep	1	3	['P1,945 264 1201 298']
4	?	Y	CD	NUMBER	?	num	3	3	['P1,945 264 1201 298']
5	OF	OF	IN	O	of	_	0	3	['P1,1216 264 1280 298']
6	SCIENCES	SCIENCES	NNS	O	science	prep_of	3	3	['P1,1299 261 1537 299']

1	1-vFoUR	:FOURTH	NN	O	1-vfour	_	0	4	['P1,901 363 1084 404']
2	*		CD	NUMBER	*	num	1	4	['P1,901 363 1084 404']
3	i		FW	O	i	nn	6	4	['P1,901 363 1084 404']
4	*		FW	O	*	nn	6	4	['P1,901 363 1084 404']
5	H		NN	O	h	nn	6	4	['P1,901 363 1084 404']
6	SERIES	SERIES	NN	O	series	dep	1	4	['P1,1104 364 1243 406']
7	:	'	:	O	:	_	0	4	['P1,1104 364 1243 406']

1	voL	VOL	NN	O	vol	_	0	5	['P1,478 477 705 516']
2	;	,	:	O	;	_	0	5	['P1,478 477 705 516']
3	xv111	XVIII	NN	O	xv111	dep	1	5	['P1,478 477 705 516']
4	,	,	,	O	,	_	0	5	['P1,478 477 705 516']
5	No.	No;	NN	O	no.	amod	3	5	['P1,720 478 783 510']
6	4	4	CD	NUMBER	4	number	5	5	['P1,799 480 828 516']
7	,	,	,	O	,	_	0	5	['P1,799 480 828 516']
8	pp	pp	NN	O	pp	appos	3	5	['P1,843 486 898 518']
9	.	.	.	O	.	_	0	5	['P1,843 486 898 518']

1	73	73	CD	NUMBER	73	_	0	6	['P1,916 465 1163 521']
2	'	-	''	O	'	_	0	6	['P1,916 465 1163 521']
3	-2	'2	CD	NUMBER	-2	dep	1	6	['P1,916 465 1163 521']
4	?	1	CD	NUMBER	?	num	5	6	['P1,916 465 1163 521']
5	l3	3,	NN	O	l3	dep	1	6	['P1,916 465 1163 521']
6	,	'	,	O	,	_	0	6	['P1,916 465 1163 521']
7	?	p	CD	NUMBER	?	num	8	6	['P1,916 465 1163 521']
8	plates	1ates	NNS	O	plate	appos	5	6	['P1,916 465 1163 521']
9	8-23	8-23	CD	NUMBER	8-23	number	10	6	['P1,1179 476 1254 511']
10	?	M	CD	NUMBER	?	dep	8	6	['P1,1388 475 1528 511']
11	MARCH	ARcII	NN	DATE	march	dep	10	6	['P1,1388 475 1528 511']
12	29	29	CD	DATE	29	num	11	6	['P1,1541 481 1591 517']
13	,	';	,	DATE	,	_	0	6	['P1,1541 481 1591 517']
14	1929	1929	CD	DATE	1929	appos	5	6	['P1,1610 473 1689 511']

1	IV		CD	NUMBER	iv	_	0	7	['P1,1053 681 1107 713']

1	MARINE	MARINE	JJ	O	marine	_	0	8	['P1,539 763 734 795']
2	MIOCENE	MIOCENE	JJ	MISC	miocene	dep	1	8	['P1,756 764 986 796']
3	AND	AND	CC	O	and	_	0	8	['P1,1005 765 1109 796']
4	RELATED	:RELATEX)	JJ	O	related	amod	5	8	['P1,1132 763 1363 797']
5	DEPOSITS	DEP'OSXT	NNS	O	deposit	dep	1	8	['P1,1387 766 1637 798']
6	?	S:	IN	O	?	amod	5	8	['P1,1387 766 1637 798']

1	OF	OF:	IN	O	of	_	0	9	['P1,813 812 880 846']
2	NORTH	NQRTH	NNP	O	NORTH	pobj	1	9	['P1,894 814 1068 846']
3	"	C	``	O	"	punct	2	9	['P1,1080 814 1347 847']
4	COLOMBIA	OLOMBIA	NNP	LOCATION	COLOMBIA	dep	2	9	['P1,1080 814 1347 847']

1	BY	SY	IN	O	by	_	0	10	['P1,1062 922 1102 947']

1	FRANK	FRANK	JJ	O	frank	amod	3	11	['P1,865 958 1007 987']
2	?		JJ	O	?	amod	3	11	['P1,865 958 1007 987']
3	?	.	NN	O	?	_	0	11	['P1,1015 961 1066 988']
4	*	M;	CD	NUMBER	*	dep	3	11	['P1,1015 961 1066 988']
5	ANDERSON	ANDERSON	NNP	O	ANDERSON	dep	3	11	['P1,1083 961 1296 988']

1	CONTENTS	CONTENTS	NNS	O	contents	_	0	12	['P1,983 1067 1183 1111']

1	PAGE	PAGP.	NN	O	page	nn	2	13	['P1,1608 1153 1690 1179']
2	Introduction	Introduction	NN	O	introduction	_	0	13	['P1,476 1194 672 1221']
3	. . . . .	..	CD	NUMBER	. . . . .	number	4	13	['P1,749 1216 754 1221', 'P1,677 1216 681 1220']
4	. . . . .	..	CD	NUMBER	. . . . .	dep	2	13	['P1,838 1217 843 1221', 'P1,766 1216 772 1221']
5	. . . . .	.	CD	NUMBER	. . . . .	num	6	13	['P1,928 1217 933 1221', 'P1,856 1217 861 1221']
6	*	..	NN	O	*	dep	4	13	['P1,946 1217 977 1225']
7	. . . . .	.	CD	NUMBER	. . . . .	number	8	13	['P1,1053 1217 1058 1221', 'P1,981 1217 986 1221']
8	. . . . .		CD	NUMBER	. . . . .	dep	2	13	['P1,1142 1217 1148 1222', 'P1,1071 1218 1076 1221']
9	. . . . .		CD	NUMBER	. . . . .	num	11	13	['P1,1232 1218 1237 1222', 'P1,1161 1216 1166 1222']
10	. . . .		CD	NUMBER	. . . .	num	11	13	['P1,1303 1218 1308 1222', 'P1,1250 1218 1255 1222']
11	*		NN	O	*	dep	8	13	['P1,1321 1205 1380 1223']
12	.		.	O	.	_	0	13	['P1,1393 1208 1408 1223']

1	-		:	O	-	_	0	14	['P1,1393 1208 1408 1223']
2	. . . . .		NN	O	. . . . .	nn	4	14	['P1,1483 1218 1487 1223', 'P1,1411 1218 1416 1223']
3	?		NN	O	?	nn	4	14	['P1,1501 1205 1541 1223']
4	*		NN	O	*	_	0	14	['P1,1501 1205 1541 1223']
5	.		.	O	.	_	0	14	['P1,1554 1218 1559 1222']

1	.		.	O	.	_	0	15	['P1,1573 1218 1577 1223']

1	*		NN	O	*	_	0	16	['P1,1590 1207 1614 1224']
2	74	74	CD	NUMBER	74	num	3	16	['P1,1657 1196 1691 1224']
3	Post-Eocene	Post-Eocene	NN	O	post-eocene	rcmod	1	16	['P1,476 1235 667 1263']
4	-	S	:	O	-	_	0	16	['P1,675 1236 831 1270']
5	Sequence	equence.	NN	O	sequence	nn	6	16	['P1,675 1236 831 1270']
6	. . . .		NN	O	. . . .	dep	3	16	['P1,873 1258 877 1263', 'P1,675 1236 831 1270']
7	;		:	O	;	_	0	16	['P1,890 1247 907 1263']
8	'		''	O	'	_	0	16	['P1,890 1247 907 1263']
9	. . .		CD	NUMBER	. . .	dep	3	16	['P1,945 1259 950 1263', 'P1,909 1259 914 1264']
10	,		,	O	,	_	0	16	['P1,951 1262 954 1263']
11	. . . .		CD	NUMBER	. . . .	appos	1	16	['P1,1016 1259 1021 1263', 'P1,963 1259 968 1263']
12	;		:	O	;	_	0	16	['P1,1035 1247 1042 1264']
13	. . . . .		CD	NUMBER	. . . . .	dep	1	16	['P1,1124 1259 1129 1264', 'P1,1052 1259 1057 1263']
14	. . . . .		CD	NUMBER	. . . . .	num	15	16	['P1,1213 1259 1219 1264', 'P1,1142 1259 1147 1263']
15	. . .		NN	O	. . .	rcmod	13	16	['P1,1267 1259 1282 1264', 'P1,1231 1259 1236 1264']
16	. . . . .		CD	NUMBER	. . . . .	number	17	16	['P1,1339 1260 1344 1264', 'P1,1267 1259 1282 1264']
17	. . . . .		CD	NUMBER	. . . . .	dep	15	16	['P1,1428 1259 1469 1264', 'P1,1357 1259 1362 1264']
18	...		:	O	...	_	0	16	['P1,1428 1259 1469 1264']
19	.		.	O	.	_	0	16	['P1,1482 1260 1487 1266']

1	.		.	O	.	_	0	17	['P1,1500 1245 1513 1265']
2	'		''	O	'	_	0	17	['P1,1500 1245 1513 1265']

1	. . . . .		NN	O	. . . . .	_	0	18	['P1,1590 1260 1594 1264', 'P1,1518 1260 1523 1265']
2	.		.	O	.	_	0	18	['P1,1607 1256 1613 1265']

1	-		:	O	-	_	0	19	['P1,1607 1256 1613 1265']
2	T5		NN	O	t5	_	0	19	['P1,1656 1232 1689 1265']
3	Poso		NNP	MISC	Poso	nn	13	19	['P1,582 1283 655 1311']
4	Series		NNP	MISC	Series	nn	13	19	['P1,667 1283 755 1310']
5	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,837 1306 843 1310', 'P1,763 1305 768 1310']
6	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,927 1305 932 1311', 'P1,855 1306 861 1310']
7	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1016 1307 1022 1311', 'P1,945 1306 950 1311']
8	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1106 1305 1111 1311', 'P1,1035 1306 1040 1311']
9	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1195 1307 1201 1311', 'P1,1124 1306 1129 1311']
10	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1285 1307 1290 1312', 'P1,1214 1307 1219 1311']
11	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1375 1307 1380 1312', 'P1,1303 1307 1308 1312']
12	. . . . .		NNP	O	. . . . .	nn	13	19	['P1,1464 1307 1470 1312', 'P1,1392 1307 1398 1312']
13	. . . . .		NNP	O	. . . . .	dep	2	19	['P1,1553 1308 1558 1312', 'P1,1482 1307 1487 1312']
14	.		.	O	.	_	0	19	['P1,1572 1308 1576 1312']

1	.		.	O	.	_	0	20	['P1,1589 1307 1614 1313']

1	.		.	O	.	_	0	21	['P1,1589 1307 1614 1313']

1	76		CD	NUMBER	76	num	2	22	['P1,1656 1286 1690 1313']
2	Struetures		NNS	O	strueture	_	0	22	['P1,582 1318 825 1346']
3	....		VBN	O	....	partmod	2	22	['P1,582 1318 825 1346']
4	;		:	O	;	_	0	22	['P1,582 1318 825 1346']
5	. . . . .		CD	NUMBER	. . . . .	number	6	22	['P1,909 1341 914 1346', 'P1,837 1341 842 1346']
6	. . . . .		CD	NUMBER	. . . . .	num	8	22	['P1,999 1341 1004 1346', 'P1,927 1341 932 1346']
7	. . . . .		CD	NUMBER	. . . . .	number	8	22	['P1,1088 1341 1093 1346', 'P1,1016 1341 1021 1346']
8	. . . . .		CD	NUMBER	. . . . .	dep	2	22	['P1,1178 1342 1183 1347', 'P1,1106 1342 1111 1346']
9	. . . . .		CD	NUMBER	. . . . .	num	10	22	['P1,1267 1341 1272 1347', 'P1,1195 1342 1200 1347']
10	*		NN	O	*	dep	8	22	['P1,1285 1318 1347 1347']
11	. . . . .		CD	NUMBER	. . . . .	number	12	22	['P1,1428 1342 1433 1347', 'P1,1357 1342 1362 1347']
12	. . . . .		CD	NUMBER	. . . . .	num	13	22	['P1,1517 1343 1523 1348', 'P1,1446 1342 1451 1347']
13	. . . .		NN	O	. . . .	dep	10	22	['P1,1590 1342 1613 1349', 'P1,1536 1343 1541 1348']
14	.		.	O	.	_	0	22	['P1,1590 1342 1613 1349']

1	82	82	CD	NUMBER	82	num	3	23	['P1,1654 1322 1688 1348']
2	Stratigraphic	Stratigraphic	JJ	O	stratigraphic	amod	3	23	['P1,582 1366 786 1400']
3	relations	relations	NNS	O	relation	nsubj	4	23	['P1,796 1366 929 1394']
4	. . . . .	.	VBP	O	. . . . .	_	0	23	['P1,1015 1389 1021 1393', 'P1,937 1388 942 1392']
5	. . . . .		CD	NUMBER	. . . . .	number	6	23	['P1,1106 1389 1111 1393', 'P1,1034 1389 1039 1393']
6	. . . . .		CD	NUMBER	. . . . .	num	8	23	['P1,1195 1389 1200 1393', 'P1,1123 1389 1128 1393']
7	. . . . .		CD	NUMBER	. . . . .	number	8	23	['P1,1284 1389 1290 1394', 'P1,1213 1389 1218 1393']
8	. . . . .		CD	NUMBER	. . . . .	dobj	4	23	['P1,1374 1390 1379 1394', 'P1,1302 1390 1307 1394']
9	. . . . .		CD	NUMBER	. . . . .	number	10	23	['P1,1464 1390 1469 1395', 'P1,1392 1390 1397 1395']
10	. . . . .		CD	NUMBER	. . . . .	num	8	23	['P1,1553 1390 1557 1395', 'P1,1482 1390 1486 1395']
11	. . .		CD	NUMBER	. . .	number	12	23	['P1,1606 1390 1612 1396', 'P1,1571 1390 1576 1395']
12	83	83	CD	NUMBER	83	num	13	23	['P1,1654 1370 1688 1396']
13	Age	Age	NN	O	age	dep	20	23	['P1,581 1409 641 1443']
14	of	of	IN	O	of	_	0	23	['P1,652 1409 684 1436']
15	the	the	DT	O	the	det	17	23	['P1,694 1409 744 1437']
16	Poso	Poso	NNP	O	Poso	nn	17	23	['P1,756 1409 829 1436']
17	series	series	NN	O	series	prep_of	13	23	['P1,840 1409 922 1437']
18	. . . . .	.	NN	O	. . . . .	dep	20	23	['P1,997 1432 1003 1437', 'P1,928 1431 932 1435']
19	. . . . .		CD	NUMBER	. . . . .	num	18	23	['P1,1087 1432 1092 1436', 'P1,1015 1431 1021 1436']
20	. . . . .		CD	NUMBER	. . . . .	dep	8	23	['P1,1177 1432 1182 1437', 'P1,1105 1432 1110 1437']
21	. . . . .		CD	NUMBER	. . . . .	number	22	23	['P1,1266 1432 1271 1437', 'P1,1194 1432 1200 1437']
22	. . . . .		CD	NUMBER	. . . . .	num	24	23	['P1,1356 1433 1360 1437', 'P1,1284 1432 1289 1437']
23	. . . . .		CD	NUMBER	. . . . .	number	24	23	['P1,1445 1433 1450 1438', 'P1,1374 1433 1379 1438']
24	. . . . .		CD	NUMBER	. . . . .	dep	20	23	['P1,1535 1433 1540 1438', 'P1,1463 1433 1468 1438']
25	. . . .		CD	NUMBER	. . . .	number	26	23	['P1,1606 1433 1612 1439', 'P1,1553 1434 1557 1438']
26	85	85	CD	NUMBER	85	num	24	23	['P1,1654 1413 1687 1439']
27	The	The	DT	O	the	det	30	23	['P1,476 1457 536 1484']
