Palaeogmphy	Palaeograph
,	y,
Palaeoclimatology	Pataeoctimatology
Palaeoecologyf	Paiaeoecoiogy,'
Liverpool	liverpool
trilobite	??trilobite
oommunity	community
Palaeogeogr.	Paiaeogeogr.
Palaeoclimatot	Palaeoclimatol
Palaeoeco1.	Paiaeoecoi.
tenuigranulata	tenuigranuiata
essentially	essentialiy
Lingulasma	Lingulasrna
trilobite	??trilobite
bivalve	??bivalve
tenuigranulata	tenuigranuiata
shell	sh<lf
vnvironment	.nviron-ment
conducivewto	conduciveto
M?Coy	M'Coy
?s	's
Lingula	Lingu!a
tenuigranulata	tenuigranuittta
.1	.l
Waagen	%aagen
intemal	internal
extemal	external
Lingula	Linguta
tenuzjgranulata	tenuigranulata
Meifod	Meifod.
Fell	Feil
Inlier	lnlier
R.	R
K.	K
PICKERILL	PICKERILI?
conspeci?c	conspecific
aanadense	cunadense
Lingula	Lingu!a
tenuigmnulata	tenuigranulata.
tenuigranulata	tenuigrunulata
6	?
%	?6%
]	l
Ienuigranulata	tenutgranulata
Inclined	Inchned
Lingulasma	Lingutasma
S	5
silici?cation	siliciftcation
phosphatisation	phosphatisa-tion
l0	10
20	??20
units	umts.
tenuigranulata	tenuigranulrrta
ULASMA	UJASMA
TENUIGRANULA	TENUEGRANULA
con?ned	confined
are	?re
predominantly	pre-dominantly
PALAEOBCOLOGY	PALAEOECOLOGY
Inclined	inchned
oblique	obhque
Lingulasma	Iingulasma
?s	's
dif?cult	difficult
reconstruction	recon-structio
,	n,
quali?ed	qualiTied
Platystrophia	Ptatystrophia
comrnissure	commissure
1963Carboniferous	1963???Carbonifer
,	ous,
concemed	concerne
,	d,
L.	L
?s	's
?lter-feeder	filter-feede
.	r.
a1	al
water	??water
trilobite	??trilobite
]	i
Nuculopsis	?uculopsis
Squamiformis	squamt'formis
Sanguinolires	Sanguinolites
Posidonia	Posldorlia
concinnus	conctnnus
Warykmdella	Wayiandella
al.	a.l
1968	l968
decemplicata	decemp/icata
Palaeoneilo	Pa/aeonei/o
Pteronirella	Pferonite//a
retro?exa	retroflexa
Cornulites	Cornu/ites
