 id  | initial_value | is_fixed |        description         |  count  |        weight        
-----+---------------+----------+----------------------------+---------+----------------------
 346 |             0 | f        | f_2gram_somepos-           |  850869 |     515.085370145692
 155 |             0 | f        | f_char_1gram-'-C           |   29873 |     17.3231787815552
 283 |             0 | f        | f_char_1gram---CT          |    2251 |     9.54721133133475
 120 |             0 | f        | f_char_1gram-€-C           |    8087 |     8.47710737331957
 200 |             0 | f        | f_char_1gram-â-C           |    8089 |     8.40869763653793
 198 |             0 | f        | f_char_1gram---C           |   17569 |     7.96124245791114
 272 |             0 | f        | f_char_1gram-,-CT          |     269 |     7.79033659116177
 309 |             0 | f        | f_char_1gram-=-T           |      18 |     3.78932043225554
 326 |             0 | f        | f_char_1gram-,-C           |    4014 |     3.03584494544687
  35 |             0 | f        | f_naivefeature-fi_C        |    7602 |     2.81303221821199
  57 |             0 | f        | f_naivefeature-fl_C        |    4229 |     2.53404759899575
  47 |             0 | f        | f_naivefeature-upp_T       |    3412 |     2.14297665421063
 284 |             0 | f        | f_char_1gram-'-T           |     476 |     2.10521839617012
  59 |             0 | f        | f_naivefeature-upp_CT      |     743 |     1.86014912810735
  12 |             0 | f        | f_naivefeature-[_T         |     827 |     1.76633316344271
 194 |             0 | f        | f_char_1gram-:-CT          |       8 |     1.69903369121148
 248 |             0 | f        | f_char_1gram-/-CT          |     831 |     1.69260741732506
 307 |             0 | f        | f_char_1gram-+-T           |     212 |     1.67602264687743
 215 |             0 | f        | f_char_1gram-’-T           |    1255 |     1.67419672458293
 355 |             0 | f        | f_1gram_neg-               |  405971 |     1.58856375847607
 236 |             0 | f        | f_char_1gram-.-CT          |    9541 |     1.54210131248826
  27 |             0 | f        | f_naivefeature-rn_C        |    4678 |     1.44519692244668
 234 |             0 | f        | f_char_1gram-P-C           |   12941 |     1.41814749331782
 279 |             0 | f        | f_char_1gram-”-T           |      39 |     1.38817331296869
 218 |             0 | f        | f_char_1gram---T           |   12060 |     1.28458742520497
 303 |             0 | f        | f_char_1gram-X-C           |    1077 |     1.20995280805132
  87 |             0 | f        | f_char_1gram-+-CT          |      27 |     1.19293720680983
 354 |             0 | f        | f_2gram_each-9             |   71134 |     1.08062362795215
 161 |             0 | f        | f_char_1gram-,-T           |     655 |    0.981217683190767
  58 |             0 | f        | f_naivefeature-fi_T        |    3011 |    0.965708494171382
