 id  | initial_value | is_fixed |        description         |  count  |        weight         
-----+---------------+----------+----------------------------+---------+-----------------------
   5 |             0 | f        | f_2gram_allneg-            |  517688 |      1074.34285411026
 355 |             0 | f        | f_1gram_neg-               |  405971 |      1012.14922409236
 349 |             0 | f        | f_2gram_each-9             |   71134 |      504.425859382778
   1 |             0 | f        | f_ocr_bias-CT              |  507225 |      478.958851202564
 178 |             0 | f        | f_char_1gram-h-CT          |   89327 |      238.510580330267
 263 |             0 | f        | f_char_1gram-t-CT          |  162007 |      189.858627846609
 348 |             0 | f        | f_2gram_each-6             |  362552 |      144.645967142742
 352 |             0 | f        | f_2gram_each-10            |   20592 |       133.30042238983
  66 |             0 | f        | f_char_1gram-a-CT          |  169750 |      114.088548005525
  88 |             0 | f        | f_char_1gram-n-CT          |  111149 |      97.5236917051611
 196 |             0 | f        | f_char_1gram-t-T           |   87489 |      50.4391057964778
  60 |             0 | f        | f_naivefeature-fi_C        |    7602 |      38.4498493778973
 138 |             0 | f        | f_char_1gram-s-T           |   61214 |      36.0451023964704
 229 |             0 | f        | f_char_1gram---C           |   17569 |      29.2141695348252
 146 |             0 | f        | f_char_1gram-p-T           |   34915 |      28.0048838119943
 163 |             0 | f        | f_char_1gram-T-CT          |   11752 |      20.3606994483543
 209 |             0 | f        | f_char_1gram-v-T           |   18627 |      17.0810811256911
  73 |             0 | f        | f_char_1gram-d-T           |   36481 |      16.5328083341232
 351 |             0 | f        | f_2gram_each-8             |  108232 |      14.5623612976689
  43 |             0 | f        | f_naivefeature-rm_T        |    3431 |      12.3391219448467
 212 |             0 | f        | f_char_1gram-I-CT          |    4135 |       11.954663031167
 315 |             0 | f        | f_char_1gram-.-CT          |    9541 |      11.4640626096782
  21 |             0 | f        | f_naivefeature-fl_C        |    4229 |      9.46476324005648
  77 |             0 | f        | f_char_1gram-r-T           |   96425 |      8.79192835359799
  25 |             0 | f        | f_naivefeature-._CT        |   16041 |      8.65457555350125
 210 |             0 | f        | f_char_1gram-n-T           |   89376 |      5.60488658579352
 334 |             0 | f        | f_char_1gram-Y-CT          |     668 |      4.64771563762356
  45 |             0 | f        | f_naivefeature-rm_C        |    3107 |        4.302913140032
 276 |             0 | f        | f_char_1gram-x-T           |    3929 |      3.67427092274098
 136 |             0 | f        | f_char_1gram-1-CT          |    7124 |      2.90404912810674
  32 |             0 | f        | f_naivefeature-fi_T        |    3011 |      2.76712381059735
 233 |             0 | f        | f_char_1gram-,-CT          |     269 |      2.50977891198619
  16 |             0 | f        | f_naivefeature-,_CT        |     273 |       2.4337937300104
 232 |             0 | f        | f_char_1gram-’-T           |    1255 |      2.12410531202025
  34 |             0 | f        | f_naivefeature-upp_CT      |     743 |       1.7637767320532
 298 |             0 | f        | f_char_1gram-'-T           |     476 |      1.47234060630262
  61 |             0 | f        | f_naivefeature-fl_T        |     429 |      1.33274158157151
  62 |             0 | f        | f_2gram_allpos-            |  778962 |      1.15548091088894
  68 |             0 | f        | f_char_1gram-F-T           |    7769 |     0.846238669282432
 156 |             0 | f        | f_char_1gram-9-CT          |    1441 |     0.688093946369346
 180 |             0 | f        | f_char_1gram-X-CT          |     167 |     0.606008610276757
 303 |             0 | f        | f_char_1gram-.-T           |   18205 |     0.432766032443693
 305 |             0 | f        | f_char_1gram-o-CT          |  147998 |     0.359878444506354
 230 |             0 | f        | f_char_1gram-m-T           |   39988 |     0.297389746625307
 186 |             0 | f        | f_char_1gram-v-CT          |   22988 |     0.296139371671787
 282 |             0 | f        | f_char_1gram-s-CT          |   81192 |     0.241036602166092
 335 |             0 | f        | f_char_1gram-u-CT          |   54847 |     0.206921204044485
 342 |             0 | f        | f_char_1gram-+-T           |     212 |     0.204076675795402
 243 |             0 | f        | f_char_1gram-”-T           |      39 |      0.18933738007785
 281 |             0 | f        | f_char_1gram-f-CT          |   23313 |     0.176309762645606
 143 |             0 | f        | f_char_1gram-=-T           |      18 |     0.174590748303624
 208 |             0 | f        | f_char_1gram-p-CT          |   43852 |     0.172435390108696
 161 |             0 | f        | f_char_1gram-:-CT          |       8 |     0.145596542533288
  58 |             0 | f        | f_naivefeature-[_T         |     827 |     0.142821783710227
 234 |             0 | f        | f_char_1gram-r-CT          |  116121 |     0.133947402804916
 324 |             0 | f        | f_char_1gram-x-CT          |    5586 |     0.128200508429268
  26 |             0 | f        | f_naivefeature-rn_T        |    3200 |     0.117091766238438
 231 |             0 | f        | f_char_1gram-Z-CT          |     544 |     0.114843544926596
 260 |             0 | f        | f_char_1gram-e-CT          |  151750 |     0.109957394363622
 224 |             0 | f        | f_char_1gram-/-CT          |     831 |    0.0960903276879011
 275 |             0 | f        | f_char_1gram-w-CT          |   23042 |    0.0924649217917117
 312 |             0 | f        | f_char_1gram-j-CT          |    1332 |     0.083966425252405
  82 |             0 | f        | f_char_1gram-c-CT          |   69641 |    0.0825938872433476
