 id | initial_value | is_fixed |   description    | count  |        weight         
----+---------------+----------+------------------+--------+-----------------------
  1 |             0 | f        | f_ocr_bias-CT    | 507225 |      2760.40240357412
 29 |             0 | f        | f_char_1gram-é-T |   1903 |      16.0819886232308
 34 |             0 | f        | f_char_1gram-’-T |   1255 |       9.1724613022425
 36 |             0 | f        | f_char_1gram-”-T |     39 |     0.241828346198991
 37 |             0 | f        | f_char_1gram-¹-C |     22 |                     0
 39 |             0 | f        | f_char_1gram-Ј-T |      1 |                     0
 38 |             0 | f        | f_char_1gram-ߴ-T |      1 |                     0
 24 |             0 | f        | f_char_1gram-̅-T  |      1 |                     0
 28 |             0 | f        | f_char_1gram-ߦ-T |      1 |                     0
 31 |             0 | f        | f_char_1gram-�-T |     10 |                     0
  7 |             0 | f        | f_char_1gram-°-T |      1 |                     0
  5 |             0 | f        | f_char_1gram-В-T |      1 |                     0
 19 |             0 | f        | f_char_1gram-Խ-T |      1 |                     0
 20 |             0 | f        | f_char_1gram-Ё-T |      1 |                     0
 11 |             0 | f        | f_char_1gram-™-C |      1 |                     0
 12 |             0 | f        | f_char_1gram-Ã-C |     10 |                     0
  8 |             0 | f        | f_char_1gram-©-C |      2 |                     0
 23 |             0 | f        | f_char_1gram-ȟ-T |      1 | -0.000624926257586812
 10 |             0 | f        | f_char_1gram-ޞ-T |      1 |  -0.00187463880280662
  4 |             0 | f        | f_char_1gram-݄-T  |      1 |  -0.00224955381080624
 22 |             0 | f        | f_char_1gram-ݾ-T |      2 |  -0.00224958755030753
 25 |             0 | f        | f_char_1gram-Ф-T |      1 |  -0.00649865893610535
 33 |             0 | f        | f_char_1gram-®-C |      5 |    -0.034243402126735
 17 |             0 | f        | f_char_1gram-—-T |     16 |   -0.0371177472187381
 18 |             0 | f        | f_char_1gram-Ђ-T |      1 |   -0.0379925909878987
 16 |             0 | f        | f_char_1gram-»-T |     16 |    -0.137094233157402
 30 |             0 | f        | f_char_1gram-”-C |     56 |    -0.219831980784364
 15 |             0 | f        | f_char_1gram-“-T |     39 |    -0.257073516925212
 35 |             0 | f        | f_char_1gram-‘-T |    117 |    -0.280318553891596
 13 |             0 | f        | f_char_1gram-«-T |     19 |    -0.312563925629217
 21 |             0 | f        | f_char_1gram-„-C |    242 |    -0.363303477085302
  9 |             0 | f        | f_char_1gram-€-C |   8087 |    -0.502200877746882
 14 |             0 | f        | f_char_1gram-â-C |   8089 |    -0.503200615272605
  6 |             0 | f        | f_char_1gram-»-C |   5352 |     -1.32134019287926
  0 |             0 | f        | f_ocr_bias-T     | 397459 |     -1.58263205566569
 32 |             0 | f        | f_char_1gram-«-C |   4859 |      -1.9116012134559
 27 |             0 | f        | f_char_1gram-ﬂ-T |   3219 |     -8.80628212668088
 26 |             0 | f        | f_char_1gram-ﬁ-T |   6016 |     -14.3170796193582
  2 |             0 | f        | f_ocr_bias-C     | 463873 |     -930.893351033517
  3 |             0 | f        | f_constraint-    | 701616 |     -1526.06145744838
(40 rows)

