 id  | initial_value | is_fixed |        description         |  count  |       weight        
-----+---------------+----------+----------------------------+---------+---------------------
  99 |             0 | f        | f_2gram_somepos-           |  850869 |     248.99322496389
  58 |             0 | f        | f_naivefeature-}_T         |     166 |    17.8724571679901
  36 |             0 | f        | f_naivefeature-?_T         |     611 |    13.3241888287772
   1 |             0 | f        | f_ocr_bias-CT              |  507225 |    12.7866054031089
  76 |             0 | f        | f_char_1gram-é-T           |    1903 |    11.5766209471532
  19 |             0 | f        | f_naivefeature-{_T         |      61 |    11.5466595072551
  24 |             0 | f        | f_naivefeature-!_T         |     181 |    10.0232692553388
  44 |             0 | f        | f_naivefeature-fl_T        |     429 |    8.02716712092064
  41 |             0 | f        | f_naivefeature-rn_C        |    4678 |    6.55936361732093
  49 |             0 | f        | f_naivefeature-._C         |  113563 |    6.20750024914386
  74 |             0 | f        | f_char_1gram-€-C           |    8087 |    5.54003400752229
  33 |             0 | f        | f_naivefeature-,_T         |   96639 |    4.65853192763382
  18 |             0 | f        | f_naivefeature-wl_CT       |  232153 |     4.3720684109735
  83 |             0 | f        | f_char_1gram-â-C           |    8089 |    4.07074847195804
  50 |             0 | f        | f_naivefeature-._T         |  101820 |    3.96635325182394
  51 |             0 | f        | f_naivefeature-rm_C        |    3107 |    3.91729876274721
  25 |             0 | f        | f_naivefeature-,_C         |   82851 |    3.57847266907096
  21 |             0 | f        | f_naivefeature-[_T         |     827 |    3.56114718132054
  56 |             0 | f        | f_naivefeature-rn_T        |    3200 |    3.17320663950892
  42 |             0 | f        | f_naivefeature-rm_T        |    3431 |    3.08263427047991
 107 |             0 | f        | f_2gram_each-10            |   20592 |    2.30228967431224
 102 |             0 | f        | f_2gram_each-9             |   71134 |    2.24016568846009
 108 |             0 | f        | f_1gram_neg-               |  405971 |    1.55117732326666
   3 |             0 | f        | f_1gram_pos-               | 1387195 |    1.11897445866723
 101 |             0 | f        | f_2gram_each-8             |  108232 |   0.825280679642423
  60 |             0 | f        | f_naivefeature-fi_C        |    7602 |   0.796573454680795
  32 |             0 | f        | f_naivefeature-notascii_T  |   39096 |   0.528266041437898
 103 |             0 | f        | f_2gram_each-7             |  320384 |   0.394064956254712
  62 |             0 | f        | f_2gram_allpos-            |  778962 |   0.329366555574685
   8 |             0 | f        | f_naivefeature-._CT        |   16041 |   0.285028020683759
  31 |             0 | f        | f_naivefeature-?_C         |     544 |   0.208879659397566
  13 |             0 | f        | f_naivefeature-rn_CT       |    4239 |    0.20223140106068
  40 |             0 | f        | f_naivefeature-rm_CT       |    3721 |  0.0990257868424205
  39 |             0 | f        | f_naivefeature-upp_CT      |     743 |                   0
  97 |             0 | f        | f_char_1gram-Ј-T           |       1 |                   0
  96 |             0 | f        | f_char_1gram-»-T           |      16 |                   0
  71 |             0 | f        | f_char_1gram-©-C           |       2 |                   0
  14 |             0 | f        | f_naivefeature-fl_CT       |     152 |                   0
  16 |             0 | f        | f_naivefeature--_CT        |    2278 |                   0
  72 |             0 | f        | f_char_1gram-°-T           |       1 |                   0
  94 |             0 | f        | f_char_1gram-ߴ-T           |       1 |                   0
  93 |             0 | f        | f_char_1gram-̅-T            |       1 |                   0
  35 |             0 | f        | f_naivefeature-upc_CT      |     232 |                   0
  86 |             0 | f        | f_char_1gram-ݾ-T           |       2 |                   0
  84 |             0 | f        | f_char_1gram-Ђ-T           |       1 |                   0
  85 |             0 | f        | f_char_1gram-Ё-T           |       1 |                   0
  28 |             0 | f        | f_naivefeature-fi_CT       |    1337 |                   0
  48 |             0 | f        | f_naivefeature-'_CT        |      31 |                   0
  65 |             0 | f        | f_char_1gram-«-T           |      19 |                   0
