 id  | initial_value | is_fixed |        description         |  count  |        weight         
-----+---------------+----------+----------------------------+---------+-----------------------
   8 |             0 | f        | f_ocr_bias-CT              |  507225 |      4.65878947438594
   7 |             0 | f        | f_ocr_bias-T               |  397459 |      4.39124234563561
   9 |             0 | f        | f_ocr_bias-C               |  463873 |      2.91584608332816
  87 |             0 | f        | f_naivefeature--_C         |   29566 |      1.57491164693478
  52 |             0 | f        | f_naivefeature-wl_CT       |  232153 |      1.48248159360694
   5 |             0 | f        | f_domain_2gram-6           |  109960 |      1.30614368878727
  14 |             0 | f        | f_domain_1gram-4           |  283274 |      1.14347462104941
  33 |             0 | f        | f_1gram_neg-               |  405971 |      1.11891258816646
  13 |             0 | f        | f_domain_1gram-3           |  146658 |      1.00750371844723
  17 |             0 | f        | f_domain_1gram-7           |  328123 |     0.975121107488311
  16 |             0 | f        | f_domain_1gram-6           |  145902 |     0.933731097859796
  10 |             0 | f        | f_domain_1gram-1           |   41306 |     0.926513002312784
  12 |             0 | f        | f_domain_1gram-2           |   76710 |     0.890532357470434
  74 |             0 | f        | f_naivefeature-._C         |  113563 |       0.8869612877308
  75 |             0 | f        | f_naivefeature-,_T         |   96639 |     0.671732967542767
 101 |             0 | f        | f_char_1gram-€-C           |    8087 |     0.642997804933021
 124 |             0 | f        | f_char_1gram-â-C           |    8089 |     0.639085235275902
  42 |             0 | f        | f_naivefeature-wl_C        |  292332 |     0.614667049399304
  22 |             0 | f        | f_domain_3gram-4           |  193806 |      0.60919678984294
   4 |             0 | f        | f_domain_2gram-5           |  190246 |     0.592349968704187
  86 |             0 | f        | f_naivefeature-wl_T        |  216493 |     0.512022707862658
  24 |             0 | f        | f_domain_3gram-0           |  852363 |     0.483600583408684
  18 |             0 | f        | f_domain_3gram-1           |  705021 |     0.415792315656513
  15 |             0 | f        | f_domain_1gram-5           |  366925 |     0.401001620103602
  23 |             0 | f        | f_domain_3gram-3           |  366045 |     0.396721836473963
  20 |             0 | f        | f_domain_3gram-2           |  573453 |     0.396548752397135
  21 |             0 | f        | f_domain_3gram-5           |   47799 |     0.388628742861423
   6 |             0 | f        | f_domain_2gram-4           |  410276 |     0.380338003750164
  78 |             0 | f        | f_naivefeature-rn_C        |    4678 |     0.371154159195534
   2 |             0 | f        | f_domain_2gram-0           |  246446 |     0.367270237731344
  96 |             0 | f        | f_char_1gram-ﬁ-T           |    6016 |     0.366957303596326
  11 |             0 | f        | f_domain_1gram-0           |   28823 |     0.354352532288895
   1 |             0 | f        | f_domain_2gram-2           |  513626 |     0.353423071962741
   0 |             0 | f        | f_domain_2gram-3           |  564662 |     0.335113450202001
   3 |             0 | f        | f_domain_2gram-1           |  378718 |     0.290438282972551
 100 |             0 | f        | f_char_1gram-ﬂ-T           |    3219 |     0.271723187604643
  36 |             0 | f        | f_naivefeature-._CT        |   16041 |     0.210960893800222
  79 |             0 | f        | f_naivefeature-rm_C        |    3107 |     0.206300773754707
  19 |             0 | f        | f_domain_3gram-6           |    9348 |     0.144188874582782
  31 |             0 | f        | f_2gram_each-9             |   71134 |     0.142236828192043
  32 |             0 | f        | f_2gram_each-10            |   20592 |     0.134871054235697
  26 |             0 | f        | f_2gram_each-8             |  108232 |     0.132690124799475
  69 |             0 | f        | f_naivefeature-notascii_C  |   20895 |     0.104594643525513
 104 |             0 | f        | f_char_1gram-é-T           |    1903 |     0.100373511325287
  88 |             0 | f        | f_naivefeature-nn_C        |    4267 |    0.0669641545112933
  89 |             0 | f        | f_naivefeature-upc_T       |    2522 |    0.0518274194312515
  77 |             0 | f        | f_naivefeature-upp_T       |    3412 |    0.0363912239101663
  48 |             0 | f        | f_naivefeature-rn_CT       |    4239 |    0.0317819712308239
  81 |             0 | f        | f_naivefeature-rm_CT       |    3721 |    0.0290868234267119
  57 |             0 | f        | f_naivefeature-[_T         |     827 |    0.0276845407761958
  63 |             0 | f        | f_naivefeature-?_T         |     611 |    0.0272773075481041
  72 |             0 | f        | f_naivefeature-fl_T        |     429 |    0.0137076148989859
  45 |             0 | f        | f_naivefeature--_CT        |    2278 |    0.0130235090899382
