 id  | initial_value | is_fixed |        description         |  count  |        weight         
-----+---------------+----------+----------------------------+---------+-----------------------
   0 |             0 | f        | f_ocr_bias-T               |  397459 |      6.20420597129774
   1 |             0 | f        | f_ocr_bias-CT              |  507225 |      6.12566393215399
   2 |             0 | f        | f_ocr_bias-C               |  463873 |      3.83663269059361
  33 |             0 | f        | f_naivefeature-wl_CT       |  232153 |        1.884289757798
  11 |             0 | f        | f_1gram_neg-               |  405971 |       1.4531416107767
  40 |             0 | f        | f_naivefeature-,_T         |   96639 |      1.36122047107975
  65 |             0 | f        | f_naivefeature--_C         |   29566 |      1.29921097045217
   5 |             0 | f        | f_2gram_each-8             |  108232 |      1.28765119310102
  58 |             0 | f        | f_naivefeature-._C         |  113563 |      1.13081539597569
   8 |             0 | f        | f_2gram_each-9             |   71134 |      1.12573381089242
  82 |             0 | f        | f_char_1gram-€-C           |    8087 |      1.11493810525132
  95 |             0 | f        | f_char_1gram-â-C           |    8089 |      1.11221475298894
  69 |             0 | f        | f_naivefeature-fi_C        |    7602 |     0.946058821851142
  51 |             0 | f        | f_naivefeature-rn_C        |    4678 |     0.884710688769489
  62 |             0 | f        | f_naivefeature-fl_C        |    4229 |     0.798241815144292
  10 |             0 | f        | f_2gram_each-10            |   20592 |     0.690145484922339
  57 |             0 | f        | f_naivefeature-._T         |  101820 |     0.550086147316272
   6 |             0 | f        | f_2gram_each-7             |  320384 |     0.488757326209403
  14 |             0 | f        | f_naivefeature-._CT        |   16041 |     0.316821363061432
  56 |             0 | f        | f_naivefeature-rm_C        |    3107 |     0.271120412634343
  81 |             0 | f        | f_char_1gram-é-T           |    1903 |     0.247020494892951
   3 |             0 | f        | f_2gram_each-6             |  362552 |     0.232584018273193
  45 |             0 | f        | f_naivefeature-notascii_C  |   20895 |     0.173813376717322
  54 |             0 | f        | f_naivefeature-fi_T        |    3011 |    0.0855564938176725
   7 |             0 | f        | f_2gram_each-5             |  376268 |    0.0756433898352779
  49 |             0 | f        | f_naivefeature-?_T         |     611 |    0.0674075898892769
  19 |             0 | f        | f_naivefeature-wl_C        |  292332 |     0.048737059901495
  60 |             0 | f        | f_naivefeature-wl_T        |  216493 |    0.0479580910515353
  59 |             0 | f        | f_naivefeature-fl_T        |     429 |    0.0444771669665036
  21 |             0 | f        | f_naivefeature--_CT        |    2278 |    0.0431456463087274
  61 |             0 | f        | f_naivefeature-upp_CT      |     743 |    0.0402722336944441
  48 |             0 | f        | f_naivefeature-rm_CT       |    3721 |     0.040073475844863
  30 |             0 | f        | f_naivefeature-rn_CT       |    4239 |    0.0319208251727129
  12 |             0 | f        | f_1gram_pos-               | 1387195 |    0.0310024079618704
  27 |             0 | f        | f_naivefeature-nn_CT       |    1495 |    0.0183255621339456
  37 |             0 | f        | f_naivefeature-fi_CT       |    1337 |    0.0179324243734792
  85 |             0 | f        | f_char_1gram-’-T           |    1255 |    0.0162716823377304
  39 |             0 | f        | f_naivefeature-[_T         |     827 |    0.0149166117561711
  67 |             0 | f        | f_naivefeature-}_T         |     166 |   0.00878479038212293
  46 |             0 | f        | f_naivefeature-upc_CT      |     232 |    0.0042508840964153
  68 |             0 | f        | f_naivefeature-nn_T        |    2269 |    0.0036327503572424
  42 |             0 | f        | f_naivefeature-,_CT        |     273 |   0.00348396113679469
  89 |             0 | f        | f_char_1gram-”-T           |      39 |   0.00341643895166465
  22 |             0 | f        | f_naivefeature-{_T         |      61 |   0.00299173498760454
  83 |             0 | f        | f_char_1gram-‘-T           |     117 |   0.00206409649352947
  25 |             0 | f        | f_naivefeature-!_T         |     181 |   0.00179861108924435
  20 |             0 | f        | f_naivefeature-fl_CT       |     152 |   0.00123539198059443
  53 |             0 | f        | f_naivefeature-'_CT        |      31 |  0.000382774039730793
  77 |             0 | f        | f_char_1gram-«-T           |      19 |  0.000270876963700548
  92 |             0 | f        | f_char_1gram-—-T           |      16 |  0.000107668357430324
  93 |             0 | f        | f_char_1gram-ߴ-T           |       1 |                     0
  75 |             0 | f        | f_char_1gram-Ф-T           |       1 |                     0
  73 |             0 | f        | f_char_1gram-©-C           |       2 |                     0
  72 |             0 | f        | f_char_1gram-В-T           |       1 |                     0
  70 |             0 | f        | f_char_1gram-݄-T            |       1 |                     0
  71 |             0 | f        | f_char_1gram-ȟ-T           |       1 |                     0
  79 |             0 | f        | f_char_1gram-°-T           |       1 |                     0
  24 |             0 | f        | f_naivefeature-notascii_CT |      53 |                     0
  80 |             0 | f        | f_char_1gram-ޞ-T           |       1 |                     0
 102 |             0 | f        | f_char_1gram-»-T           |      16 |                     0
  98 |             0 | f        | f_char_1gram-™-C           |       1 |                     0
 100 |             0 | f        | f_char_1gram-Ј-T           |       1 |                     0
 101 |             0 | f        | f_char_1gram-̅-T            |       1 |                     0
  35 |             0 | f        | f_naivefeature-"_CT        |       3 |                     0
  84 |             0 | f        | f_char_1gram-ߦ-T           |       1 |                     0
  38 |             0 | f        | f_naivefeature-[_CT        |       1 |                     0
  97 |             0 | f        | f_char_1gram-Ђ-T           |       1 |                     0
  96 |             0 | f        | f_char_1gram-�-T           |      10 |                     0
  90 |             0 | f        | f_char_1gram-ݾ-T           |       2 |                     0
  91 |             0 | f        | f_char_1gram-®-C           |       5 |                     0
  88 |             0 | f        | f_char_1gram-“-T           |      39 |                     0
 104 |             0 | f        | f_char_1gram-Խ-T           |       1 |                     0
 103 |             0 | f        | f_char_1gram-Ё-T           |       1 |                     0
  28 |             0 | f        | f_naivefeature-}_C         |      75 | -9.43377994678954e-06
  26 |             0 | f        | f_naivefeature-{_C         |       7 | -0.000369750256668255
  94 |             0 | f        | f_char_1gram-Ã-C           |      10 |  -0.00130412831612967
  86 |             0 | f        | f_char_1gram-”-C           |      56 |  -0.00234673791227844
  87 |             0 | f        | f_char_1gram-¹-C           |      22 |  -0.00434225516941589
  44 |             0 | f        | f_naivefeature-'_T         |    2441 |  -0.00871076920966866
 105 |             0 | f        | f_char_1gram-„-C           |     242 |   -0.0154617258819452
  41 |             0 | f        | f_naivefeature-?_C         |     544 |   -0.0227083878170942
  43 |             0 | f        | f_naivefeature-upp_T       |    3412 |   -0.0239755901414455
  63 |             0 | f        | f_naivefeature-nn_C        |    4267 |   -0.0265002243579902
   4 |             0 | f        | f_2gram_each-4             |  310076 |   -0.0333851926367249
  29 |             0 | f        | f_naivefeature-"_T         |    1242 |   -0.0388912965484552
  34 |             0 | f        | f_naivefeature-!_C         |    1264 |   -0.0404775526500027
  23 |             0 | f        | f_naivefeature-]_C         |    1318 |   -0.0475940686940309
  52 |             0 | f        | f_naivefeature-rm_T        |    3431 |   -0.0517491324843683
  55 |             0 | f        | f_naivefeature-rn_T        |    3200 |   -0.0542271415316286
  66 |             0 | f        | f_naivefeature-upc_T       |    2522 |   -0.0885032755988756
  47 |             0 | f        | f_naivefeature-[_C         |     825 |   -0.0897910951259073
   9 |             0 | f        | f_2gram_each-3             |  151352 |   -0.0934288337540947
  15 |             0 | f        | f_naivefeature-dict        |  902884 |    -0.124053312917408
  50 |             0 | f        | f_naivefeature-]_T         |    2036 |    -0.221558616251484
  99 |             0 | f        | f_char_1gram-«-C           |    4859 |    -0.339261367778916
  31 |             0 | f        | f_naivefeature-upc_C       |    9885 |    -0.341471582704469
  76 |             0 | f        | f_char_1gram-»-C           |    5352 |    -0.428998642237979
  64 |             0 | f        | f_naivefeature-"_C         |    3562 |    -0.494692120171391
  18 |             0 | f        | f_naivefeature-upp_C       |   22647 |    -0.542204412180438
  32 |             0 | f        | f_naivefeature-,_C         |   82851 |    -0.626227791295898
  78 |             0 | f        | f_char_1gram-ﬂ-T           |    3219 |    -0.654564450364215
  74 |             0 | f        | f_char_1gram-ﬁ-T           |    6016 |    -0.656015315324578
  36 |             0 | f        | f_naivefeature-notascii_T  |   39096 |     -1.01418022459104
  17 |             0 | f        | f_naivefeature-'_C         |   37818 |     -1.74787019778222
  16 |             0 | f        | f_naivefeature--_T         |   13802 |     -2.03455249660439
  13 |             0 | f        | f_constraint-              |  701616 |     -5.73555498709154
(106 rows)

