 id  | initial_value | is_fixed |        description         |  count  |        weight         
-----+---------------+----------+----------------------------+---------+-----------------------
   8 |             0 | f        | f_ocr_bias-CT              |  507225 |       4.6733660638928
   7 |             0 | f        | f_ocr_bias-T               |  397459 |      4.38871957998946
   9 |             0 | f        | f_ocr_bias-C               |  463873 |      2.94137872298034
  76 |             0 | f        | f_naivefeature--_C         |   29566 |      1.54636865174237
  54 |             0 | f        | f_naivefeature-wl_CT       |  232153 |      1.48801959199098
   6 |             0 | f        | f_domain_2gram-6           |  109960 |      1.30288670473346
  14 |             0 | f        | f_domain_1gram-4           |  283274 |      1.15829960197258
  33 |             0 | f        | f_1gram_neg-               |  405971 |      1.09807323245801
  13 |             0 | f        | f_domain_1gram-3           |  146658 |      1.03286267040965
  16 |             0 | f        | f_domain_1gram-7           |  328123 |     0.980269556779774
  17 |             0 | f        | f_domain_1gram-6           |  145902 |     0.948997291344722
  11 |             0 | f        | f_domain_1gram-1           |   41306 |     0.948079092946338
  78 |             0 | f        | f_naivefeature-._C         |  113563 |     0.897658280406047
  12 |             0 | f        | f_domain_1gram-2           |   76710 |     0.884149096398523
  56 |             0 | f        | f_naivefeature-,_T         |   96639 |     0.674864128659749
 125 |             0 | f        | f_char_1gram-€-C           |    8087 |     0.633999240674575
 114 |             0 | f        | f_char_1gram-â-C           |    8089 |     0.630283693578059
  22 |             0 | f        | f_domain_3gram-4           |  193806 |     0.616183151888538
   4 |             0 | f        | f_domain_2gram-5           |  190246 |     0.601445514142952
  42 |             0 | f        | f_naivefeature-wl_C        |  292332 |     0.584058418146573
  75 |             0 | f        | f_naivefeature-wl_T        |  216493 |     0.530768215207453
  24 |             0 | f        | f_domain_3gram-0           |  852363 |     0.467447713846728
  15 |             0 | f        | f_domain_1gram-5           |  366925 |     0.417789319558025
  20 |             0 | f        | f_domain_3gram-2           |  573453 |     0.415532150505608
  19 |             0 | f        | f_domain_3gram-1           |  705021 |      0.40293561290246
  21 |             0 | f        | f_domain_3gram-5           |   47799 |     0.396687873949641
  23 |             0 | f        | f_domain_3gram-3           |  366045 |     0.372374554469028
  63 |             0 | f        | f_naivefeature-rn_C        |    4678 |     0.368540293938779
   3 |             0 | f        | f_domain_2gram-0           |  246446 |      0.35635170121674
  10 |             0 | f        | f_domain_1gram-0           |   28823 |      0.35387213462836
   5 |             0 | f        | f_domain_2gram-4           |  410276 |     0.350757643365243
   0 |             0 | f        | f_domain_2gram-2           |  513626 |     0.348416041990471
  98 |             0 | f        | f_char_1gram-ﬁ-T           |    6016 |     0.345687466724394
   1 |             0 | f        | f_domain_2gram-3           |  564662 |     0.324827898597292
   2 |             0 | f        | f_domain_2gram-1           |  378718 |     0.294953878454497
  96 |             0 | f        | f_char_1gram-ﬂ-T           |    3219 |     0.261656759577262
  77 |             0 | f        | f_naivefeature-rm_C        |    3107 |     0.214567021309761
  36 |             0 | f        | f_naivefeature-._CT        |   16041 |     0.213610006501958
  31 |             0 | f        | f_2gram_each-9             |   71134 |     0.145365387951089
  18 |             0 | f        | f_domain_3gram-6           |    9348 |     0.140176054817178
  32 |             0 | f        | f_2gram_each-10            |   20592 |     0.138440158455244
  27 |             0 | f        | f_2gram_each-8             |  108232 |     0.127596421753458
 103 |             0 | f        | f_char_1gram-é-T           |    1903 |     0.102309883937351
  65 |             0 | f        | f_naivefeature-notascii_C  |   20895 |    0.0893911411107136
  80 |             0 | f        | f_naivefeature-nn_C        |    4267 |    0.0604826288865729
  85 |             0 | f        | f_naivefeature-upc_T       |    2522 |    0.0497256210509918
  47 |             0 | f        | f_naivefeature-rn_CT       |    4239 |    0.0312492354489488
  62 |             0 | f        | f_naivefeature-rm_CT       |    3721 |    0.0294885284882762
  68 |             0 | f        | f_naivefeature-?_T         |     611 |    0.0285749435553119
  59 |             0 | f        | f_naivefeature-[_T         |     827 |    0.0243525018771314
  70 |             0 | f        | f_naivefeature-upp_T       |    3412 |    0.0155360064457643
  84 |             0 | f        | f_naivefeature-fl_T        |     429 |    0.0134882543161594
  41 |             0 | f        | f_naivefeature--_CT        |    2278 |     0.012769432145517
  79 |             0 | f        | f_naivefeature-upp_CT      |     743 |    0.0101362553375029
  72 |             0 | f        | f_naivefeature-fi_CT       |    1337 |   0.00987359529443194
  55 |             0 | f        | f_naivefeature-nn_CT       |    1495 |    0.0088245876117927
 102 |             0 | f        | f_char_1gram-‘-T           |     117 |   0.00815490195173156
  87 |             0 | f        | f_naivefeature-}_T         |     166 |   0.00228030020164279
  46 |             0 | f        | f_naivefeature-!_T         |     181 |   0.00224870839044005
  64 |             0 | f        | f_naivefeature-upc_CT      |     232 |   0.00191055099225867
  73 |             0 | f        | f_naivefeature-,_CT        |     273 |   0.00180597014085836
 127 |             0 | f        | f_char_1gram-—-T           |      16 |  0.000585324308669493
  40 |             0 | f        | f_naivefeature-fl_CT       |     152 |  0.000549800088235342
  99 |             0 | f        | f_char_1gram-«-T           |      19 |    0.0004147447961054
  66 |             0 | f        | f_naivefeature-'_CT        |      31 |  0.000220048982155321
  45 |             0 | f        | f_naivefeature-{_T         |      61 |  4.02787787619022e-05
  67 |             0 | f        | f_naivefeature-[_CT        |       1 |  8.79294447087662e-06
  97 |             0 | f        | f_char_1gram-В-T           |       1 |                     0
  44 |             0 | f        | f_naivefeature-}_C         |      75 |                     0
 100 |             0 | f        | f_char_1gram-ߦ-T           |       1 |                     0
 101 |             0 | f        | f_char_1gram-©-C           |       2 |                     0
 115 |             0 | f        | f_char_1gram-Ђ-T           |       1 |                     0
 116 |             0 | f        | f_char_1gram-̅-T            |       1 |                     0
 112 |             0 | f        | f_char_1gram-®-C           |       5 |                     0
  53 |             0 | f        | f_naivefeature-notascii_CT |      53 |                     0
 108 |             0 | f        | f_char_1gram-ݾ-T           |       2 |                     0
  95 |             0 | f        | f_char_1gram-°-T           |       1 |                     0
  92 |             0 | f        | f_char_1gram-ȟ-T           |       1 |                     0
  94 |             0 | f        | f_char_1gram-Ф-T           |       1 |                     0
  93 |             0 | f        | f_char_1gram-݄-T            |       1 |                     0
 126 |             0 | f        | f_char_1gram-“-T           |      39 |                     0
 123 |             0 | f        | f_char_1gram-Ј-T           |       1 |                     0
 124 |             0 | f        | f_char_1gram-Խ-T           |       1 |                     0
 121 |             0 | f        | f_char_1gram-»-T           |      16 |                     0
 119 |             0 | f        | f_char_1gram-ߴ-T           |       1 |                     0
 118 |             0 | f        | f_char_1gram-Ё-T           |       1 |                     0
 104 |             0 | f        | f_char_1gram-�-T           |      10 |                     0
