 id  | initial_value | is_fixed |         description          |  count  |        weight         
-----+---------------+----------+------------------------------+---------+-----------------------
  10 |             0 | f        | f_ocr_bias-CT                |  507225 |      2.54902241731601
  36 |             0 | f        | f_1gram_neg-                 |  435371 |      2.05953468342941
  23 |             0 | f        | f_domain_3gram-4             |  203148 |       1.9402838217609
  21 |             0 | f        | f_domain_3gram-3             |  391038 |       1.8203137537049
  27 |             0 | f        | f_domain_3gram-1             |  778650 |      1.77599384218598
  22 |             0 | f        | f_domain_3gram-2             |  622926 |      1.77305829770914
  26 |             0 | f        | f_domain_3gram-0             |  948744 |      1.75019455566641
 132 |             0 | f        | f_naivefeature--_C           |   29566 |       1.6171920310562
  24 |             0 | f        | f_domain_3gram-5             |   49140 |       1.0109850004829
   6 |             0 | f        | f_domain_2gram-6             |  111132 |       1.0094050255781
  93 |             0 | f        | f_naivefeature-wl_CT         |  232153 |      0.98213627916367
 192 |             0 | f        | f_char_1gram-â-C             |    8089 |      0.78296623602574
 163 |             0 | f        | f_char_1gram-€-C             |    8087 |     0.782957354269959
  15 |             0 | f        | f_domain_1gram-2             |   85487 |     0.781698221949148
 116 |             0 | f        | f_naivefeature-._C           |  113563 |     0.745222111065114
   4 |             0 | f        | f_domain_2gram-5             |  198830 |     0.692462901869172
   5 |             0 | f        | f_domain_2gram-4             |  434052 |     0.653732251827967
 110 |             0 | f        | f_naivefeature-notascii_C    |   20895 |     0.649766294855581
   8 |             0 | f        | f_ocr_bias-T                 |  397459 |     0.568768943514652
  16 |             0 | f        | f_domain_1gram-3             |  161789 |     0.566579646639503
  17 |             0 | f        | f_domain_1gram-4             |  309334 |     0.520559380805555
   0 |             0 | f        | f_domain_2gram-3             |  608686 |     0.503588977927853
   1 |             0 | f        | f_domain_2gram-2             |  567644 |     0.441360418698377
  19 |             0 | f        | f_domain_1gram-6             |  148280 |     0.390530144112605
 146 |             0 | f        | f_naivefeature-fi_C          |    7602 |     0.346768868184607
  14 |             0 | f        | f_domain_1gram-1             |   45750 |     0.342367532054808
   2 |             0 | f        | f_domain_2gram-0             |  284314 |     0.328337911237499
  35 |             0 | f        | f_2gram_each-10              |   20616 |     0.209395211587994
 131 |             0 | f        | f_naivefeature-wl_T          |  216493 |     0.207717596905502
   3 |             0 | f        | f_domain_2gram-1             |  430062 |     0.154614189853668
  13 |             0 | f        | f_domain_1gram-0             |   30995 |     0.144511854198119
  34 |             0 | f        | f_2gram_each-9               |   72154 |     0.139162153525132
  97 |             0 | f        | f_naivefeature-fl_C          |    4229 |     0.115849003678365
  44 |             0 | f        | f_naivefeature-dict          |  960344 |    0.0954147080610331
  70 |             0 | f        | f_naivefeature--_CSg         |    1957 |    0.0952923443325162
 127 |             0 | f        | f_naivefeature-rn_C          |    4678 |    0.0888345491938701
  29 |             0 | f        | f_2gram_each-3               |  171438 |    0.0838484274819738
  25 |             0 | f        | f_domain_3gram-6             |    9351 |    0.0811125890941973
  43 |             0 | f        | f_naivefeature-._CT          |   16041 |    0.0731800973088959
 165 |             0 | f        | f_char_1gram-é-T             |    1903 |    0.0696370220179339
 117 |             0 | f        | f_naivefeature-,_T           |   96639 |    0.0690818729437151
  76 |             0 | f        | f_naivefeature-'_T           |    2441 |    0.0674631197698443
  28 |             0 | f        | f_2gram_each-8               |  111744 |    0.0574936015029358
 183 |             0 | f        | f_char_1gram-’-T             |    1255 |    0.0561816326071488
 119 |             0 | f        | f_naivefeature-rm_C          |    3107 |    0.0533646014087306
  67 |             0 | f        | f_naivefeature--_TSg         |     556 |    0.0458747328042344
  99 |             0 | f        | f_naivefeature-[_T           |     827 |    0.0285738518421198
 133 |             0 | f        | f_naivefeature-fi_CSg        |     535 |    0.0270243703154644
  77 |             0 | f        | f_naivefeature-"_T           |    1242 |    0.0222126854435135
 121 |             0 | f        | f_naivefeature-rm_CT         |    3721 |    0.0206046299638125
  79 |             0 | f        | f_naivefeature-rn_CT         |    4239 |    0.0169776951932969
 134 |             0 | f        | f_naivefeature-nn_C          |    4267 |    0.0148119053913019
 135 |             0 | f        | f_naivefeature-upp_CSg       |    1111 |    0.0108725230731973
 101 |             0 | f        | f_naivefeature-fl_CSg        |     355 |   0.00801831639372264
  65 |             0 | f        | f_naivefeature--_CT          |    2278 |   0.00798627253296398
 142 |             0 | f        | f_naivefeature-upp_CT        |     743 |   0.00779641701629283
 114 |             0 | f        | f_naivefeature-fl_T          |     429 |   0.00703787887011692
  86 |             0 | f        | f_naivefeature-nn_CT         |    1495 |   0.00699566911833716
 187 |             0 | f        | f_char_1gram-”-T             |      39 |   0.00524798974489445
  68 |             0 | f        | f_naivefeature-fi_CT         |    1337 |   0.00311083196412098
  92 |             0 | f        | f_naivefeature-rn_TSg        |     177 |   0.00270965807677922
 129 |             0 | f        | f_naivefeature-}_T           |     166 |   0.00230721125104516
 111 |             0 | f        | f_naivefeature-?_T           |     611 |   0.00196270266811963
  85 |             0 | f        | f_naivefeature-,_CT          |     273 |  0.000900209532061558
 104 |             0 | f        | f_naivefeature-upc_CT        |     232 |  0.000817660415635738
 136 |             0 | f        | f_naivefeature-upc_T         |    2522 |  0.000809846750134478
  60 |             0 | f        | f_naivefeature-fl_CT         |     152 |  0.000300198896884213
  72 |             0 | f        | f_naivefeature-fi_TSg        |      69 |  0.000158267071366602
 178 |             0 | f        | f_char_1gram-é-TSg           |      64 |  2.81451552680452e-05
 181 |             0 | f        | f_char_1gram-Ђ-T             |       1 |                     0
 179 |             0 | f        | f_char_1gram-®-C             |       5 |                     0
 125 |             0 | f        | f_naivefeature-,_CTSg        |       4 |                     0
 126 |             0 | f        | f_naivefeature-'_CT          |      31 |                     0
  80 |             0 | f        | f_naivefeature-[_CT          |       1 |                     0
 190 |             0 | f        | f_char_1gram-ݾ-T             |       2 |                     0
  69 |             0 | f        | f_naivefeature-fl_CTSg       |       3 |                     0
  53 |             0 | f        | f_naivefeature-upp_TSg       |     158 |                     0
  55 |             0 | f        | f_naivefeature-}_CSg         |       1 |                     0
  54 |             0 | f        | f_naivefeature-notascii_CTSg |       2 |                     0
 166 |             0 | f        | f_char_1gram-°-T             |       1 |                     0
 162 |             0 | f        | f_char_1gram-„-CSg           |       6 |                     0
 164 |             0 | f        | f_char_1gram-”-TSg           |       1 |                     0
  56 |             0 | f        | f_naivefeature-!_TSg         |       7 |                     0
 182 |             0 | f        | f_char_1gram-™-C             |       1 |                     0
 184 |             0 | f        | f_char_1gram-é-CSg           |      45 |                     0
  64 |             0 | f        | f_naivefeature-{_T           |      61 |                     0
 186 |             0 | f        | f_char_1gram-«-TSg           |       1 |                     0
 155 |             0 | f        | f_char_1gram-©-C             |       2 |                     0
 152 |             0 | f        | f_char_1gram-В-T             |       1 |                     0
 209 |             0 | f        | f_candgen_distance-6         |       1 |                     0
 156 |             0 | f        | f_char_1gram-ߦ-T             |       1 |                     0
 161 |             0 | f        | f_char_1gram-�-T             |      10 |                     0
 169 |             0 | f        | f_char_1gram-“-T             |      39 |                     0
 168 |             0 | f        | f_char_1gram-é-CTSg          |       2 |                     0
  62 |             0 | f        | f_naivefeature-}_TSg         |       2 |                     0
 115 |             0 | f        | f_naivefeature-upc_CTSg      |       2 |                     0
 112 |             0 | f        | f_naivefeature-}_C           |      75 |                     0
 167 |             0 | f        | f_char_1gram-ޞ-T             |       1 |                     0
  42 |             0 | f        | f_naivefeature-'_CTSg        |       5 |                     0
  41 |             0 | f        | f_naivefeature-{_TSg         |       1 |                     0
 158 |             0 | f        | f_char_1gram-“-TSg           |       1 |                     0
 200 |             0 | f        | f_char_1gram-Ј-T             |       1 |                     0
  87 |             0 | f        | f_naivefeature-"_CT          |       3 |                     0
