 id  | initial_value | is_fixed |        description         |  count  |        weight         
-----+---------------+----------+----------------------------+---------+-----------------------
   8 |             0 | f        | f_ocr_bias-CT              |  507225 |       2.5263858398624
  23 |             0 | f        | f_domain_3gram-4           |  193806 |      2.18985107835401
  22 |             0 | f        | f_domain_3gram-3           |  366045 |      1.81889454409385
  18 |             0 | f        | f_domain_3gram-2           |  573453 |      1.60160132148933
  19 |             0 | f        | f_domain_3gram-1           |  705021 |      1.55964997825654
  24 |             0 | f        | f_domain_3gram-0           |  852363 |      1.51954721137988
   7 |             0 | f        | f_ocr_bias-T               |  397459 |      1.31159884036776
  21 |             0 | f        | f_domain_3gram-5           |   47799 |      1.22446648414856
   6 |             0 | f        | f_domain_2gram-6           |  110476 |      1.17396552268548
  85 |             0 | f        | f_naivefeature--_C         |   29566 |       1.1679732251591
  68 |             0 | f        | f_naivefeature-._C         |  113563 |      1.08012557773586
   4 |             0 | f        | f_domain_2gram-5           |  194286 |      1.06614598153713
  47 |             0 | f        | f_naivefeature-wl_CT       |  232153 |     0.916988496879038
  41 |             0 | f        | f_naivefeature-wl_C        |  292332 |     0.793769295529655
  33 |             0 | f        | f_1gram_neg-               |  405971 |     0.713067666972067
  11 |             0 | f        | f_domain_1gram-2           |   76710 |     0.695309195130811
   5 |             0 | f        | f_domain_2gram-4           |  419134 |     0.608979390053695
  84 |             0 | f        | f_naivefeature-wl_T        |  216493 |     0.582497045967658
  14 |             0 | f        | f_domain_1gram-4           |  283274 |     0.569726392795336
  13 |             0 | f        | f_domain_1gram-3           |  146658 |     0.485957912071668
   1 |             0 | f        | f_domain_2gram-2           |  533656 |     0.478338940807356
   0 |             0 | f        | f_domain_2gram-3           |  579594 |     0.447668906197348
  99 |             0 | f        | f_char_1gram-€-C           |    8087 |     0.404937224063766
 115 |             0 | f        | f_char_1gram-â-C           |    8089 |      0.40492178841059
   9 |             0 | f        | f_ocr_bias-C               |  463873 |     0.389298795023468
  20 |             0 | f        | f_domain_3gram-6           |    9348 |     0.369664208182842
  30 |             0 | f        | f_2gram_each-9             |   71554 |     0.367200727847863
   2 |             0 | f        | f_domain_2gram-0           |  263768 |     0.357684857039333
  28 |             0 | f        | f_2gram_each-3             |  159554 |     0.327162002891177
  10 |             0 | f        | f_domain_1gram-1           |   41306 |     0.271501243382144
  36 |             0 | f        | f_naivefeature-dict        |  902884 |     0.258548258687248
  64 |             0 | f        | f_naivefeature-notascii_C  |   20895 |        0.242405828756
  74 |             0 | f        | f_naivefeature-,_T         |   96639 |     0.224431325686745
   3 |             0 | f        | f_domain_2gram-1           |  399684 |     0.220579740912438
  89 |             0 | f        | f_naivefeature-fi_C        |    7602 |     0.187084117422964
  16 |             0 | f        | f_domain_1gram-6           |  145902 |     0.185394839031462
  12 |             0 | f        | f_domain_1gram-0           |   28823 |      0.16132082918388
  32 |             0 | f        | f_2gram_each-10            |   20608 |      0.15635676695797
 105 |             0 | f        | f_char_1gram-é-T           |    1903 |      0.11577515075776
  31 |             0 | f        | f_2gram_each-4             |  325438 |    0.0986686338696555
  73 |             0 | f        | f_naivefeature-rm_C        |    3107 |    0.0812850731800236
  37 |             0 | f        | f_naivefeature-._CT        |   16041 |    0.0791168252774386
 118 |             0 | f        | f_char_1gram-’-T           |    1255 |     0.076362713817254
  78 |             0 | f        | f_naivefeature-rn_C        |    4678 |    0.0614997346995576
  79 |             0 | f        | f_naivefeature-fl_C        |    4229 |    0.0547541437781751
  63 |             0 | f        | f_naivefeature-'_T         |    2441 |     0.046896532980645
  86 |             0 | f        | f_naivefeature-nn_C        |    4267 |    0.0464388399637937
